,Approximate Entropy: m=3 r=0.7,Conduction Delay: set_thresh=False,Energy Ratio by Chunks: num_segments=10 segment_focus=2,Index Mass Quantile: q=0.6,Label 1,Label 2,Location of Maximum Energy: M=14,Maximum Absolute Value,Normalised Standard Deviation,Number of Peaks: set_thresh=False,Number of Peaks: set_thresh=True,Peaks Between Min and Max,Percentage Fractionation: thresh=0.01,Power Spectral Entropy,Power Spectral Entropy Around Maximum Energy,Ratio Beyond 5xSTD,Sample Entropy Around Max Energy: width=60 r=0.025,Spectral Centroid,Spectral Centroid Around Maximum Energy,Standard Deviation
347,0.0002682514213606657,0,0.000313814826671162,0.0,0,0,0,0.0,0.02211917987989298,-1,0,1,-2.0,-0.11538006354412289,0.3563442546837843,0.0,0.008276225307001443,-2.0733752220662574,0.6754553327076094,0.02211744868359003
348,-0.0011890124127686419,0,0.000263030693371285,0.006666666666666668,0,0,0,0.0,0.011452858798291804,-1,0,0,-2.0,-0.22147356048416533,0.29414212023485886,0.0,0.0010314465393680367,-1.9760877474709062,0.6083487567429353,0.011447237982531944
349,-0.0023523451029934805,0,0.00018344716084238213,0.006666666666666668,0,0,0,0.0,0.013335626778433862,-1,0,0,-2.0,-0.05649101899802211,0.30536113481142824,0.0,0.003951443718440015,1.9253489541478075,0.6423473332070095,0.013321712302359318
350,-0.002402012628497263,0,3.0356736875707444e-05,0.0,0,0,0,0.0,0.022519319442740438,-1,0,0,-2.0,-0.14942759878704415,0.38242385113719246,0.006666666666666666,0.0029658539142253327,-1.9627959050015455,0.7373209690155749,0.022519627402870362
351,-0.0025853378700692042,0,0.0002749737432979996,0.0,0,0,0,0.0,0.016969049321439944,-1,0,0,-2.0,-0.05769602101099203,0.513080350980819,0.0,0.003926789773536414,-1.4556262888072737,0.9559354983573085,0.016981744824152212
352,-0.002381706184475252,0,0.00010781797564105204,-0.013333333333333329,0,0,0,0.0,0.03120806050316388,-1,0,0,-2.0,-0.1475284568922648,0.287358683953701,0.006666666666666666,0.035063041619555375,-3.703375882575191,0.4423516337542903,0.031208075157493465
353,-0.0018512361199877758,0,2.534699591669694e-05,-0.006666666666666661,0,0,0,0.0,0.04246655222494991,0,0,0,0.0,-0.8338946708275774,-0.23484432883523088,0.006666666666666666,0.012366889981126018,-5.866056091176272,-0.2186324318679853,0.04246662709572033
354,0.003339964675532381,1,0.00040609129012752,0.020000000000000004,0,0,1,-5648.0,0.030461992089868883,0,0,0,1.3333333333333335,-1.242557985381235,-0.6326595282261729,0.0,0.061494189626021815,-11.436171226283669,-1.311227218794544,0.030629642810885344
355,0.029076162104603565,4,0.0022383505117419835,0.046666666666666676,1,1,4,-10704.0,0.06020527404927445,2,0,0,6.666666666666668,-1.001793761842464,0.17583692782081517,-0.013333333333333334,0.14377865005370852,-9.201280100003988,-0.6406126121453455,0.06020413574626826
356,-0.04206921581412493,-9,-0.004667819086030815,-0.09333333333333334,0,0,-11,11136.0,0.021605174416685358,1,0,-1,3.333333333333334,0.656602628418101,0.26068695880918025,-0.006666666666666667,-0.10090210952860666,4.262998696611076,1.437566677894321,0.021614163593135893
357,-0.05050570874082361,-10,-0.004760905460776651,-0.09333333333333334,0,0,-10,11136.0,0.017825088037178805,-1,0,-1,-2.0,0.4288724045739336,-0.8671972477023429,-0.006666666666666667,-0.10872942541914467,1.80628052870569,-1.1870828778192486,0.017827391092901518
